,Country Code,Region,IncomeGroup,TableName
112,IRQ,Middle East & North Africa,Upper middle income,Iraq
113,ISL,Europe & Central Asia,High income,Iceland
114,ISR,Middle East & North Africa,High income,Israel
115,ITA,Europe & Central Asia,High income,Italy
116,JAM,Latin America & Caribbean,Upper middle income,Jamaica
117,JOR,Middle East & North Africa,Upper middle income,Jordan
118,JPN,East Asia & Pacific,High income,Japan
119,KAZ,Europe & Central Asia,Upper middle income,Kazakhstan
120,KEN,Sub-Saharan Africa,Lower middle income,Kenya
121,KGZ,Europe & Central Asia,Lower middle income,Kyrgyz Republic
122,KHM,East Asia & Pacific,Lower middle income,Cambodia
123,KIR,East Asia & Pacific,Lower middle income,Kiribati
124,KNA,Latin America & Caribbean,High income,St. Kitts and Nevis
125,KOR,East Asia & Pacific,High income,"Korea, Rep."
126,KWT,Middle East & North Africa,High income,Kuwait
128,LAO,East Asia & Pacific,Lower middle income,Lao PDR
129,LBN,Middle East & North Africa,Lower middle income,Lebanon
130,LBR,Sub-Saharan Africa,Low income,Liberia
131,LBY,Middle East & North Africa,Upper middle income,Libya
132,LCA,Latin America & Caribbean,Upper middle income,St. Lucia
136,LIE,Europe & Central Asia,High income,Liechtenstein
137,LKA,South Asia,Lower middle income,Sri Lanka
140,LSO,Sub-Saharan Africa,Lower middle income,Lesotho
142,LTU,Europe & Central Asia,High income,Lithuania
143,LUX,Europe & Central Asia,High income,Luxembourg
144,LVA,Europe & Central Asia,High income,Latvia
145,MAC,East Asia & Pacific,High income,"Macao SAR, China"
146,MAF,Latin America & Caribbean,High income,St. Martin (French part)
147,MAR,Middle East & North Africa,Lower middle income,Morocco
148,MCO,Europe & Central Asia,High income,Monaco
149,MDA,Europe & Central Asia,Upper middle income,Moldova
150,MDG,Sub-Saharan Africa,Low income,Madagascar
151,MDV,South Asia,Upper middle income,Maldives
153,MEX,Latin America & Caribbean,Upper middle income,Mexico
154,MHL,East Asia & Pacific,Upper middle income,Marshall Islands
156,MKD,Europe & Central Asia,Upper middle income,North Macedonia
157,MLI,Sub-Saharan Africa,Low income,Mali
158,MLT,Middle East & North Africa,High income,Malta
159,MMR,East Asia & Pacific,Lower middle income,Myanmar
161,MNE,Europe & Central Asia,Upper middle income,Montenegro
162,MNG,East Asia & Pacific,Lower middle income,Mongolia
163,MNP,East Asia & Pacific,High income,Northern Mariana Islands
164,MOZ,Sub-Saharan Africa,Low income,Mozambique
165,MRT,Sub-Saharan Africa,Lower middle income,Mauritania
166,MUS,Sub-Saharan Africa,Upper middle income,Mauritius
167,MWI,Sub-Saharan Africa,Low income,Malawi
168,MYS,East Asia & Pacific,Upper middle income,Malaysia
170,NAM,Sub-Saharan Africa,Upper middle income,Namibia
171,NCL,East Asia & Pacific,High income,New Caledonia
172,NER,Sub-Saharan Africa,Low income,Niger
173,NGA,Sub-Saharan Africa,Lower middle income,Nigeria
174,NIC,Latin America & Caribbean,Lower middle income,Nicaragua
175,NLD,Europe & Central Asia,High income,Netherlands
176,NOR,Europe & Central Asia,High income,Norway
177,NPL,South Asia,Lower middle income,Nepal
178,NRU,East Asia & Pacific,High income,Nauru
179,NZL,East Asia & Pacific,High income,New Zealand
181,OMN,Middle East & North Africa,High income,Oman
183,PAK,South Asia,Lower middle income,Pakistan
184,PAN,Latin America & Caribbean,High income,Panama
185,PER,Latin America & Caribbean,Upper middle income,Peru
186,PHL,East Asia & Pacific,Lower middle income,Philippines
187,PLW,East Asia & Pacific,Upper middle income,Palau
188,PNG,East Asia & Pacific,Lower middle income,Papua New Guinea
189,POL,Europe & Central Asia,High income,Poland
191,PRI,Latin America & Caribbean,High income,Puerto Rico
192,PRK,East Asia & Pacific,Low income,"Korea, Dem. People's Rep."
193,PRT,Europe & Central Asia,High income,Portugal
194,PRY,Latin America & Caribbean,Upper middle income,Paraguay
195,PSE,Middle East & North Africa,Lower middle income,West Bank and Gaza
198,PYF,East Asia & Pacific,High income,French Polynesia
199,QAT,Middle East & North Africa,High income,Qatar
200,ROU,Europe & Central Asia,High income,Romania
201,RUS,Europe & Central Asia,Upper middle income,Russian Federation
202,RWA,Sub-Saharan Africa,Low income,Rwanda
204,SAU,Middle East & North Africa,High income,Saudi Arabia
205,SDN,Sub-Saharan Africa,Low income,Sudan
206,SEN,Sub-Saharan Africa,Lower middle income,Senegal
207,SGP,East Asia & Pacific,High income,Singapore
208,SLB,East Asia & Pacific,Lower middle income,Solomon Islands
209,SLE,Sub-Saharan Africa,Low income,Sierra Leone
210,SLV,Latin America & Caribbean,Lower middle income,El Salvador
211,SMR,Europe & Central Asia,High income,San Marino
212,SOM,Sub-Saharan Africa,Low income,Somalia
213,SRB,Europe & Central Asia,Upper middle income,Serbia
215,SSD,Sub-Saharan Africa,Low income,South Sudan
218,STP,Sub-Saharan Africa,Lower middle income,São Tomé and Principe
219,SUR,Latin America & Caribbean,Upper middle income,Suriname
220,SVK,Europe & Central Asia,High income,Slovak Republic
221,SVN,Europe & Central Asia,High income,Slovenia
222,SWE,Europe & Central Asia,High income,Sweden
223,SWZ,Sub-Saharan Africa,Lower middle income,Eswatini
224,SXM,Latin America & Caribbean,High income,Sint Maarten (Dutch part)
225,SYC,Sub-Saharan Africa,High income,Seychelles
226,SYR,Middle East & North Africa,Low income,Syrian Arab Republic
227,TCA,Latin America & Caribbean,High income,Turks and Caicos Islands
228,TCD,Sub-Saharan Africa,Low income,Chad
231,TGO,Sub-Saharan Africa,Low income,Togo
232,THA,East Asia & Pacific,Upper middle income,Thailand
233,TJK,Europe & Central Asia,Lower middle income,Tajikistan
234,TKM,Europe & Central Asia,Upper middle income,Turkmenistan
236,TLS,East Asia & Pacific,Lower middle income,Timor-Leste
238,TON,East Asia & Pacific,Upper middle income,Tonga
241,TTO,Latin America & Caribbean,High income,Trinidad and Tobago
242,TUN,Middle East & North Africa,Lower middle income,Tunisia
243,TUR,Europe & Central Asia,Upper middle income,Türkiye
244,TUV,East Asia & Pacific,Upper middle income,Tuvalu
245,TZA,Sub-Saharan Africa,Lower middle income,Tanzania
246,UGA,Sub-Saharan Africa,Low income,Uganda
247,UKR,Europe & Central Asia,Lower middle income,Ukraine
249,URY,Latin America & Caribbean,High income,Uruguay
250,USA,North America,High income,United States
251,UZB,Europe & Central Asia,Lower middle income,Uzbekistan
252,VCT,Latin America & Caribbean,Upper middle income,St. Vincent and the Grenadines
253,VEN,Latin America & Caribbean,,"Venezuela, RB"
254,VGB,Latin America & Caribbean,High income,British Virgin Islands
255,VIR,Latin America & Caribbean,High income,Virgin Islands (U.S.)
256,VNM,East Asia & Pacific,Lower middle income,Vietnam
257,VUT,East Asia & Pacific,Lower middle income,Vanuatu
259,WSM,East Asia & Pacific,Lower middle income,Samoa
260,XKX,Europe & Central Asia,Upper middle income,Kosovo
261,YEM,Middle East & North Africa,Low income,"Yemen, Rep."
262,ZAF,Sub-Saharan Africa,Upper middle income,South Africa
263,ZMB,Sub-Saharan Africa,Low income,Zambia
264,ZWE,Sub-Saharan Africa,Lower middle income,Zimbabwe
